qid,protocol_question,field_name,gpt_question,example_answer,tokens_per_answer,tokens_per_questions,question_type,is_kpi_field,question_score
358,Outdoor. Location. City [City],,"What is the Outdoor Location City? Format of answer: [City], Example:""Uppsala""",Uppsala,,20,string,False,
359,Outdoor. Location. Coordinates [Latitude; Longitude] [decimal degrees],Outdoor_location_coordinates,"What is the Outdoor Location Coordinates? Format of answer: [Latitude; Longitude], Example:""59.839116; 17.647979""",59.839116; 17.647979,3.0,29,string,True,1.0
360,Outdoor. Location. Climate zone [Tropical/Subtropical/Temperate/Cold],,"What is the Outdoor Location Climate zone? Format of answer: [Tropical/Subtropical/Temperate/Cold], Example:""Teperate""",Teperate,,29,string,False,
361,Outdoor. Installation. Tilt [degrees],,"What is the Outdoor Installation Tilt? Format of answer: [degrees], Example:""45""",45,,19,int,False,
362,Outdoor. Installation. Cardinal direction [degrees],,"What is the Outdoor Installation Cardinal direction? Format of answer: [degrees], Example:""180""",180,,19,int,False,
363,Outdoor. Installation. Number of solar tracking axis [0/1/2],Outdoor_installation_number_of_solar_tracking_axis,"What is the Outdoor Installation Number of solar tracking axis? Format of answer: [0/1/2], Example:""0""",False,3.0,26,boolean,True,1.0
364,Outdoor. Time. Season [Winter/Summer/ …],,"What is the Outdoor Time Season? Format of answer: [Winter/Summer/ …], Example:""Autumn; Spring; Summer""",Autumn; Spring; Summer,,27,string,False,
365,Outdoor. Time. Start [year:mm:dd:hh:mm],Outdoor_time_start,"What is the Outdoor Time Start? Format of answer: [year:mm:dd:hh:mm], Example:""2019:03:01:14:00""",2019:03:01:14:00,9.9,33,string,True,1.0
366,Outdoor. Time. End [year:mm:dd:hh:mm],Outdoor_time_end,"What is the Outdoor Time End? Format of answer: [year:mm:dd:hh:mm], Example:""2019:08:30:15:00""",2019:08:30:15:00,9.9,33,string,True,1.0
367,Outdoor. Time. Total exposure [days],,"What is the Outdoor Time Total exposure? Format of answer: [days], Example:""180""",180,,19,int,False,
368,Outdoor. Potential bias. Load condition [Open circuit/MPPT/Constant potential/ …],,"What is the Outdoor Potential bias Load condition? Format of answer: [Open circuit/MPPT/Constant potential/ …], Example:""MPPT""",MPPT,,30,string,False,
369,Outdoor. Potential bias. Range [U.min; U.max] or [U.constant] [V],Outdoor_potential_bias_range,"What is the Outdoor Potential bias Range? Format of answer: [Umin; Umax] o], Example:""0; 0.97""",0; 0.97,3.0,30,string,True,1.0
370,Outdoor. Potential bias. Passive resistance [ohm],,What is the Outdoor Potential bias Passive resistance? Format of answer: [ohm],,,17,string,False,
371,Outdoor. Temperature. Load condition [Constant/Uncontrolled/Cycled/ ...],,"What is the Outdoor Temperature Load condition? Format of answer: [Constant/Uncontrolled/Cycled/ ], Example:""Constant""",Constant,,25,string,False,
372,Outdoor. Temperature. Range [T.min; T.max] or [T.constant] [deg. C],Outdoor_temperature_range,"What is the Outdoor Temperature Range? Format of answer: [Tmin; Tmax] o], Example:""-5;31""",-5;31,3.0,25,string,True,1.0
373,Outdoor. Temperature. Tmodule [degrees C],,What is the Outdoor Temperature Tmodule? Format of answer: [degrees C],,,16,string,False,
374,Outdoor. Periodic JV measurements [TRUE/FALSE],Outdoor_periodic_JV_measurements,"What is the Outdoor Periodic JV measurements? Format of answer: [TRUE/FALSE], Example:""True""",True,1.0,22,boolean,True,1.0
375,Outdoor. Periodic JV measurements. Time between measurements [h],,"What is the Outdoor Periodic JV measurements Time between measurements? Format of answer: [h], Example:""1""",True,,23,boolean,False,
376,Outdoor. PCE. Initial value [%],,"What is the Outdoor PCE Initial value? Format of answer: [%], Example:""17.5""",17.5,,21,float,False,
377,Outdoor. PCE. Burn in observed [TRUE/FALSE],Outdoor_PCE_burn_in_observed,"What is the Outdoor PCE Burn in observed? Format of answer: [TRUE/FALSE], Example:""True""",True,1.0,23,boolean,True,1.0
378,Outdoor. PCE. End of experiment [% of initial PCE],,"What is the Outdoor PCE End of experiment? Format of answer: [% of initial PCE], Example:""75""",75,,24,int,False,
379,Outdoor. PCE. T95 [h],,"What is the Outdoor PCE T95? Format of answer: [h], Example:""10""",10,,20,int,False,
380,Outdoor. PCE. Ts95 [h],,"What is the Outdoor PCE Ts95? Format of answer: [h], Example:""200""",200,,20,int,False,
381,Outdoor. PCE. T80 [h],,"What is the Outdoor PCE T80? Format of answer: [h], Example:""600""",600,,20,int,False,
382,Outdoor. PCE. Ts80 [h],,"What is the Outdoor PCE Ts80? Format of answer: [h], Example:""800""",800,,20,int,False,
383,Outdoor. PCE. Te80 [h],,What is the Outdoor PCE Te80? Format of answer: [h],,,16,string,False,
384,Outdoor. PCE. Tse80 [h],,What is the Outdoor PCE Tse80? Format of answer: [h],,,17,string,False,
385,Outdoor. PCE. After 1000 h [% of initial PCE],,"What is the Outdoor PCE After 1000 h? Format of answer: [% of initial PCE], Example:""75""",75,,26,int,False,
386,Outdoor. Power generated [kWh/year/m^2],,What is the Outdoor Power generated? Format of answer: [kWh/year/m^2],,,19,string,False,
387,Outdoor. Link. Raw data for outdoor trace,,"What is the Outdoor Link Raw data for outdoor trace, Example:""www.testsite…""",www.testsite…,,17,string,False,
388,Outdoor. Detaild weather data available [TRUE/FALSE],Outdoor_detaild_weather_data_available,"What is the Outdoor Detaild weather data available? Format of answer: [TRUE/FALSE], Example:""True""",True,1.0,23,boolean,True,1.0
389,Outdoor. Link. Detailed weather data,,"What is the Outdoor Link Detailed weather data, Example:""www.testsite…""",www.testsite…,,15,string,False,
390,Outdoor. Spectral data available [TRUE/FALSE],Outdoor_spectral_data_available,"What is the Outdoor Spectral data available? Format of answer: [TRUE/FALSE], Example:""True""",True,1.0,22,boolean,True,1.0
391,Outdoor. Link. Spectral data,,"What is the Outdoor Link Spectral data, Example:""www.testsite…""",www.testsite…,,15,string,False,
392,Outdoor. Irradiance measured [TRUE/FALSE],Outdoor_irradiance_measured,"What is the Outdoor Irradiance measured? Format of answer: [TRUE/FALSE], Example:""True""",True,1.0,22,boolean,True,1.0
393,Outdoor. Link. Irradiance data ,,"What is the Outdoor Link Irradiance data , Example:""www.testsite…""",www.testsite…,,16,string,False,
